LEDES1998B[]
INVOICE_DATE|INVOICE_NUMBER|CLIENT_ID|LAW_FIRM_MATTER_ID|INVOICE_TOTAL|BILLING_START_DATE|BILLING_END_DATE|INVOICE_DESCRIPTION|LINE_ITEM_NUMBER|EXP/FEE/INV_ADJ_TYPE|LINE_ITEM_NUMBER_OF_UNITS|LINE_ITEM_ADJUSTMENT_AMOUNT|LINE_ITEM_TOTAL|LINE_ITEM_DATE|LINE_ITEM_TASK_CODE|LINE_ITEM_EXPENSE_CODE|LINE_ITEM_ACTIVITY_CODE|TIMEKEEPER_ID|LINE_ITEM_DESCRIPTION|LAW_FIRM_ID|LINE_ITEM_UNIT_COST|TIMEKEEPER_NAME|TIMEKEEPER_CLASSIFICATION|CLIENT_MATTER_ID[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |1|F|8|0|7600|20130101|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |2|F|8|0|7600|20130102|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |3|F|8|0|7600|20130103|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |4|F|8|0|7600|20130104|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |5|F|8|0|7600|20130105|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |6|F|8|0|7600|20130106|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |7|F|8|0|7600|20130107|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |8|F|8|0|7600|20130108|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |9|F|8|0|7600|20130109|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |10|F|8|0|7600|20130110|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |11|F|8|0|7600|20130111|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |12|F|8|0|7600|20130112|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |13|F|8|0|7600|20130113|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |14|F|8|0|7600|20130114|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |15|F|8|0|7600|20130115|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |16|F|8|0|7600|20130116|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |17|F|8|0|7600|20130117|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |18|F|8|0|7600|20130118|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
20130701|1000000|ACME|123456/7890|243350|20130101|20130630|Quisque vel eros pulvinar, adipiscing tortor quis, consectetur diam. Duis vel libero nec odio convallis gravida. Mauris ligula orci, ultrices in venenatis non, tincidunt ac magna. |19|F|8|0|7600|20130119|B110||A104|XXX|Work on matter.|00-0000000|950|Xavier, Xerxes|PT|1000[]
